trial	copf	ropf	ccc	rcc	eta	csjc	rsjc	eps
283	567.073	0.0170978	569.691	0.0181618	0.386687	565.22	0.00910374	0.009102
284	567.073	0.0170978	569.703	0.0181657	0.386286	565.22	0.00909707	0.0090953
285	567.073	0.0170978	569.715	0.0181697	0.385886	565.22	0.0090904	0.00908859
286	567.073	0.0170978	569.727	0.0181737	0.385485	565.22	0.00908374	0.00908188
287	567.073	0.0170978	569.739	0.0181776	0.385085	565.22	0.00907707	0.00907518
288	567.073	0.0170978	569.751	0.0181816	0.384685	565.22	0.00907041	0.00906847
289	567.073	0.0170978	569.763	0.0181856	0.384284	565.22	0.00906375	0.00906176
290	567.073	0.0170978	569.775	0.0181895	0.383884	565.221	0.00905709	0.00905506
291	567.073	0.0170978	569.787	0.0181935	0.383483	565.221	0.00905043	0.00904835
292	567.073	0.0170978	569.799	0.0181975	0.383083	565.221	0.00904377	0.00904164
293	567.073	0.0170978	569.811	0.0182015	0.382683	565.221	0.00903711	0.00903493
294	567.073	0.0170978	569.823	0.0182054	0.382282	565.221	0.00903045	0.00902823
295	567.073	0.0170978	569.836	0.0182094	0.381882	565.221	0.00902379	0.00902152
296	567.073	0.0170978	569.848	0.0182134	0.381481	565.221	0.00901714	0.00901481
297	567.073	0.0170978	569.86	0.0182174	0.381081	565.221	0.00901048	0.00900811
298	567.073	0.0170978	569.872	0.0182214	0.380681	565.221	0.00900383	0.0090014
299	567.073	0.0170978	569.884	0.0182253	0.38028	565.221	0.00899718	0.00899469
300	567.073	0.0170978	569.897	0.0182293	0.37988	565.221	0.00899053	0.00898799
301	567.073	0.0170978	569.909	0.0182333	0.379479	565.221	0.00898388	0.00898128
302	567.073	0.0170978	569.921	0.0182373	0.379079	565.222	0.00897723	0.00897457
303	567.073	0.0170978	569.933	0.0182413	0.378679	565.222	0.00897058	0.00896787
304	567.073	0.0170978	569.946	0.0182453	0.378278	565.222	0.00896394	0.00896116
305	567.073	0.0170978	569.958	0.0182493	0.377878	565.222	0.00895729	0.00895445
306	567.073	0.0170978	569.97	0.0182533	0.377477	565.222	0.00895065	0.00894775
307	567.073	0.0170978	569.983	0.0182573	0.377077	565.222	0.00894401	0.00894104
308	567.073	0.0170978	569.995	0.0182614	0.376677	565.222	0.00893736	0.00893433
309	567.073	0.0170978	570.008	0.0182659	0.376276	565.222	0.00893073	0.00892763
310	567.073	0.0170978	570.02	0.0182703	0.375876	565.222	0.00892409	0.00892092
311	567.073	0.0170978	570.033	0.0182747	0.375475	565.222	0.00891745	0.00891421
312	567.073	0.0170978	570.045	0.0182791	0.375075	565.222	0.00891082	0.00890751
313	567.073	0.0170978	570.058	0.0182835	0.374675	565.222	0.00890418	0.0089008
314	567.073	0.0170978	570.07	0.0182879	0.374274	565.223	0.00889755	0.00889409
315	567.073	0.0170978	570.083	0.0182923	0.373874	565.223	0.00889092	0.00888739
316	567.073	0.0170978	570.095	0.0182966	0.373473	565.223	0.00888429	0.00888068
317	567.073	0.0170978	570.108	0.0183003	0.373073	565.223	0.00887766	0.00887397
318	567.073	0.0170978	570.121	0.0183039	0.372673	565.223	0.00887103	0.00886727
319	567.073	0.0170978	570.133	0.0183076	0.372272	565.223	0.00886441	0.00886056
320	567.073	0.0170978	570.146	0.0183113	0.371872	565.223	0.00885779	0.00885385
321	567.073	0.0170978	570.159	0.0183141	0.371471	565.223	0.00885117	0.00884715
